Date;Phone_Time_min;Weekly_Exam_Count;Study_Time_min;Phone_Distractions;Study_Sessions
2025-02-16;228;0;0;0;0
2025-02-17;252;0;0;0;0
2025-02-18;108;0;0;0;0
2025-02-19;360;0;90;2;1
2025-02-20;180;0;150;3;2
2025-02-21;176;0;120;4;2
2025-02-22;180;0;195;2;3
2025-02-23;180;0;270;2;3
2025-02-24;109;0;120;5;2
2025-02-25;392;0;150;3;2
2025-02-26;355;0;105;1;1
2025-02-27;273;0;150;0;2
2025-02-28;494;0;120;0;2
2025-03-01;354;0;0;0;0
2025-03-02;381;0;0;0;0
2025-03-03;180;0;60;0;1
2025-03-04;423;0;0;0;0
2025-03-05;403;0;0;0;0
2025-03-06;344;0;210;1;2
2025-03-07;233;0;0;0;0
2025-03-08;249;0;0;0;0
2025-03-09;540;0;270;3;2
2025-03-10;338;1;180;2;2
2025-03-11;356;1;325;4;3
2025-03-12;286;1;170;2;2
2025-03-13;423;1;60;0;1
2025-03-14;480;1;195;5;2
2025-03-15;405;1;210;5;2
2025-03-16;387;1;120;4;1
2025-03-17;420;1;200;6;2
2025-03-18;386;1;240;3;3
2025-03-19;403;1;330;4;4
2025-03-20;385;1;300;3;3
2025-03-21;297;1;300;3;0
2025-03-22;218;1;0;0;0
2025-03-23;177;1;0;0;0
2025-03-24;166;0;0;0;0
2025-03-25;194;0;0;0;0
2025-03-26;300;0;210;3;2
2025-03-27;272;0;0;0;0
2025-03-28;198;0;180;4;2
2025-03-29;254;0;60;0;1
2025-03-30;223;0;145;0;1
2025-03-31;286;0;0;0;0
2025-04-01;456;0;0;0;0
2025-04-02;305;0;330;5;3
2025-04-03;408;0;45;0;1
2025-04-04;182;0;60;0;1
2025-04-05;335;0;260;3;2
2025-04-06;263;0;0;0;0
2025-04-07;441;3;160;4;2
2025-04-08;308;3;330;3;4
2025-04-09;474;3;150;0;2
2025-04-10;473;3;300;3;3
2025-04-11;263;3;260;4;3
2025-04-12;326;3;270;4;2
2025-04-13;364;3;0;0;0
2025-04-14;424;0;0;0;0
2025-04-15;612;0;0;0;0
2025-04-16;705;0;0;0;0
2025-04-17;609;0;0;0;0
2025-04-18;418;0;0;0;0
2025-04-19;278;0;0;0;0
2025-04-20;571;0;90;2;1
2025-04-21;344;0;150;2;1
2025-04-22;489;0;0;0;0
2025-04-23;379;0;50;0;1
2025-04-24;270;0;140;0;2
2025-04-25;405;0;165;3;2
2025-04-26;489;0;240;2;3
2025-04-27;420;0;210;2;2
2025-04-28;327;0;90;1;1
2025-04-29;374;0;180;2;2
2025-04-30;540;0;150;3;2
2025-05-01;400;0;0;0;0
2025-05-02;360;0;120;1;1
2025-05-03;348;1;210;4;2
2025-05-04;320;1;240;2;2
2025-05-05;478;1;330;4;3
2025-05-06;350;1;300;3;3
2025-05-07;410;1;120;2;1
2025-05-08;385;1;195;3;2
2025-05-09;396;1;180;2;2
2025-05-10;370;1;90;1;1
2025-05-11;398;1;60;0;1
2025-05-12;450;1;200;3;2
2025-05-13;340;1;150;2;2
2025-05-14;366;1;180;2;2
2025-05-15;390;1;210;3;2
2025-05-16;410;1;120;1;1
2025-05-17;430;1;270;2;3
2025-05-18;360;1;0;0;0
2025-05-19;250;1;90;1;1
2025-05-20;290;1;210;3;2
2025-05-21;310;1;150;2;2
2025-05-22;263;1;240;3;3
2025-05-23;365;1;90;0;1
2025-05-24;287;1;255;1;2
2025-05-25;426;2;0;0;0
2025-05-26;255;2;300;0;3
2025-05-27;280;2;180;3;3
2025-05-28;236;2;270;0;3
2025-05-29;260;2;360;1;3
